"W ID","Colony","Treatment","Days after start of experiment","No. foraging bouts per day","Mean foraging duration"
"A0 01 03 C0 00 A0 A8 C2","WB20","B",16,1,1899-12-31 02:57:29
"A0 01 03 C0 00 A0 A8 C2","WB20","B",17,1,1899-12-31 00:35:46
"A0 01 03 C0 00 A0 A8 C2","WB20","B",19,1,1899-12-31 00:31:01
"A0 01 03 C0 00 A0 A8 C2","WB20","B",18,2,1899-12-31 03:24:23
"A0 01 03 C0 00 A0 B0 4D","WB20","B",25,1,1899-12-31 00:07:14
"A0 01 03 C0 00 A0 B0 4D","WB20","B",23,2,1899-12-31 00:06:44
"A0 01 03 C0 00 A0 B0 4D","WB20","B",26,2,1899-12-31 00:24:15
"A0 01 03 C0 00 A0 B0 4D","WB20","B",27,2,1899-12-31 00:55:21
"A0 01 03 C0 00 A0 C8 AA","WB20","B",17,1,1899-12-31 03:02:29
"A0 01 03 C0 00 A0 C8 AA","WB20","B",21,1,1899-12-31 03:39:13
"A0 01 03 C0 00 A0 C8 AA","WB20","B",25,1,1899-12-31 01:04:22
"A0 01 03 C0 00 A0 C8 AA","WB20","B",26,1,1899-12-31 00:45:10
"A0 01 03 C0 00 A0 C8 AA","WB20","B",22,2,1899-12-31 00:30:36
"A0 01 03 C0 00 A0 C8 AA","WB20","B",23,2,1899-12-31 00:53:12
"A0 01 03 C0 00 A0 C8 AA","WB20","B",24,2,1899-12-31 01:43:25
"A0 01 03 C0 00 A0 C8 AA","WB20","B",16,3,1899-12-31 00:12:52
"A0 01 03 C0 00 A0 C8 AA","WB20","B",18,3,1899-12-31 00:51:43
"A0 01 03 C0 00 A0 C8 AA","WB20","B",19,4,1899-12-31 00:35:27
"A0 01 03 C0 00 A0 C8 AA","WB20","B",20,7,1899-12-31 00:53:59
"A0 01 03 C0 00 A0 C8 E9","WB20","B",22,1,1899-12-31 00:06:37
"A0 01 03 C0 00 A0 C8 E9","WB20","B",24,1,1899-12-31 00:28:37
"A0 01 03 C0 00 A0 C8 E9","WB20","B",23,2,1899-12-31 00:12:16
"A0 01 03 C0 00 A0 C8 E9","WB20","B",26,2,1899-12-31 00:16:40
"A0 01 03 C0 00 A0 C8 E9","WB20","B",28,8,1899-12-31 00:29:39
"A0 01 03 C0 00 A0 C8 E9","WB20","B",27,13,1899-12-31 00:36:01
"A0 01 03 C0 00 A0 E8 62","WB20","B",5,1,1899-12-31 01:14:20
"A0 01 03 C0 00 A0 E8 62","WB20","B",8,1,1899-12-31 00:53:52
"A0 01 03 C0 00 A0 E8 62","WB20","B",6,2,1899-12-31 01:19:30
"A0 01 03 C0 00 A0 E8 62","WB20","B",7,3,1899-12-31 02:03:41
"A0 01 03 C0 00 A0 E8 63","WB20","B",28,3,1899-12-31 00:08:26
"A0 01 03 C0 00 A0 E8 63","WB20","B",15,4,1899-12-31 00:20:59
"A0 01 03 C0 00 A0 E8 63","WB20","B",22,10,1899-12-31 00:45:37
"A0 01 03 C0 00 A0 E8 63","WB20","B",23,13,1899-12-31 00:18:51
"A0 01 03 C0 00 A0 E8 63","WB20","B",25,19,1899-12-31 00:15:10
"A0 01 03 C0 00 A0 E8 63","WB20","B",26,26,1899-12-31 00:22:15
"A0 01 03 C0 00 A0 E8 63","WB20","B",24,28,1899-12-31 00:13:22
"A0 01 03 C0 00 A0 E8 63","WB20","B",27,32,1899-12-31 00:09:36
"A0 01 03 C0 00 C0 73 83","WB20","B",0,1,1899-12-31 00:24:03
"A0 01 03 C0 00 C0 73 83","WB20","B",4,1,1899-12-31 00:09:06
"A0 01 03 C0 00 C0 73 83","WB20","B",5,1,1899-12-31 02:17:37
"A0 01 03 C0 00 C0 73 83","WB20","B",7,2,1899-12-31 00:48:47
"A0 01 03 C0 00 C0 73 83","WB20","B",6,6,1899-12-31 00:30:02
"A0 01 03 C0 00 C0 F3 38","WB20","B",9,1,1899-12-31 00:05:04
"A0 01 03 C0 00 C0 F3 38","WB20","B",1,2,1899-12-31 00:35:02
"A0 01 03 C0 00 C0 F3 38","WB20","B",6,2,1899-12-31 00:06:15
"A0 01 03 C0 00 C0 F3 38","WB20","B",2,4,1899-12-31 00:30:38
"A0 01 03 C0 00 C0 F3 61","WB20","B",2,2,1899-12-31 01:36:17
"A0 01 03 C0 00 C0 F3 61","WB20","B",6,2,1899-12-31 00:06:51
"A0 01 03 C0 00 C0 F3 61","WB20","B",7,2,1899-12-31 00:54:19
"A0 01 03 C0 00 C0 F3 FA","WB20","B",6,2,1899-12-31 01:21:49
"A0 01 03 C0 00 C0 F3 FA","WB20","B",7,10,1899-12-31 00:44:06
"A0 01 03 C0 00 20 86 DF","WB01","C",9,1,1899-12-31 00:37:08
"A0 01 03 C0 00 20 86 DF","WB01","C",10,1,1899-12-31 01:51:45
"A0 01 03 C0 00 20 86 DF","WB01","C",11,1,1899-12-31 00:32:25
"A0 01 03 C0 00 20 86 DF","WB01","C",12,1,1899-12-31 00:05:45
"A0 01 03 C0 00 A0 28 E7","WB01","C",26,7,1899-12-31 00:52:19
"A0 01 03 C0 00 A0 28 E7","WB01","C",25,10,1899-12-31 00:30:15
"A0 01 03 C0 00 A0 48 CB","WB01","C",13,3,1899-12-31 00:25:02
"A0 01 03 C0 00 A0 48 CB","WB01","C",15,5,1899-12-31 00:30:12
"A0 01 03 C0 00 A0 48 CB","WB01","C",23,5,1899-12-31 00:51:18
"A0 01 03 C0 00 A0 48 CB","WB01","C",21,6,1899-12-31 00:49:21
"A0 01 03 C0 00 A0 48 CB","WB01","C",24,6,1899-12-31 00:41:19
"A0 01 03 C0 00 A0 48 CB","WB01","C",14,8,1899-12-31 00:23:41
"A0 01 03 C0 00 A0 48 CB","WB01","C",19,8,1899-12-31 00:35:09
"A0 01 03 C0 00 A0 48 CB","WB01","C",22,8,1899-12-31 00:43:40
"A0 01 03 C0 00 A0 48 CB","WB01","C",25,8,1899-12-31 00:44:57
"A0 01 03 C0 00 A0 48 CB","WB01","C",16,9,1899-12-31 00:36:46
"A0 01 03 C0 00 A0 48 CB","WB01","C",17,9,1899-12-31 00:37:48
"A0 01 03 C0 00 A0 48 CB","WB01","C",18,10,1899-12-31 00:35:31
"A0 01 03 C0 00 A0 48 CB","WB01","C",26,11,1899-12-31 00:42:00
"A0 01 03 C0 00 A0 E8 3C","WB01","C",13,1,1899-12-31 02:57:17
"A0 01 03 C0 00 A0 E8 3C","WB01","C",15,1,1899-12-31 00:36:33
"A0 01 03 C0 00 A0 E8 3C","WB01","C",18,1,1899-12-31 00:09:35
"A0 01 03 C0 00 A0 E8 3C","WB01","C",27,1,1899-12-31 03:41:54
"A0 01 03 C0 00 A0 E8 3C","WB01","C",8,2,1899-12-31 03:29:57
"A0 01 03 C0 00 A0 E8 3C","WB01","C",14,2,1899-12-31 01:19:55
"A0 01 03 C0 00 A0 E8 3C","WB01","C",20,2,1899-12-31 01:03:11
"A0 01 03 C0 00 A0 E8 3C","WB01","C",7,3,1899-12-31 00:33:27
"A0 01 03 C0 00 A0 E8 3C","WB01","C",9,3,1899-12-31 01:33:02
"A0 01 03 C0 00 A0 E8 3C","WB01","C",19,3,1899-12-31 00:48:18
"A0 01 03 C0 00 A0 E8 3C","WB01","C",10,6,1899-12-31 02:03:37
"A0 01 03 C0 00 C0 F3 3F","WB01","C",10,2,1899-12-31 00:13:54
"A0 01 03 C0 00 C0 F3 3F","WB01","C",12,2,1899-12-31 00:31:37
"A0 01 03 C0 00 C0 F3 3F","WB01","C",5,5,1899-12-31 00:41:49
"A0 01 03 C0 00 C0 F3 3F","WB01","C",4,6,1899-12-31 00:33:20
"A0 01 03 C0 00 C0 F3 3F","WB01","C",9,9,1899-12-31 00:19:43
"A0 01 03 C0 00 C0 F3 3F","WB01","C",11,13,1899-12-31 00:22:42
"A0 01 03 C0 00 20 1D 5A","WB01_2","C",19,1,1899-12-31 00:25:35
"A0 01 03 C0 00 20 1D 5A","WB01_2","C",20,1,1899-12-31 00:19:54
"A0 01 03 C0 00 20 1D 5A","WB01_2","C",24,1,1899-12-31 00:35:54
"A0 01 03 C0 00 20 1D 5A","WB01_2","C",25,1,1899-12-31 00:31:34
"A0 01 03 C0 00 20 1D 5A","WB01_2","C",23,4,1899-12-31 00:25:01
"A0 01 03 C0 00 20 1D 5A","WB01_2","C",27,5,1899-12-31 00:31:43
"A0 01 03 C0 00 20 1D AB","WB01_2","C",18,1,1899-12-31 00:12:37
"A0 01 03 C0 00 20 1D AB","WB01_2","C",22,1,1899-12-31 00:47:52
"A0 01 03 C0 00 20 1D AB","WB01_2","C",25,2,1899-12-31 00:15:55
"A0 01 03 C0 00 20 1D AB","WB01_2","C",23,5,1899-12-31 00:53:23
"A0 01 03 C0 00 20 1D C3","WB01_2","C",25,1,1899-12-31 00:43:37
"A0 01 03 C0 00 20 1D C3","WB01_2","C",24,3,1899-12-31 01:36:43
"A0 01 03 C0 00 20 1D C3","WB01_2","C",26,3,1899-12-31 01:04:41
"A0 01 03 C0 00 20 1D C3","WB01_2","C",27,4,1899-12-31 00:47:47
"A0 01 03 C0 00 20 1D CB","WB01_2","C",26,5,1899-12-31 00:12:15
"A0 01 03 C0 00 20 1D CB","WB01_2","C",19,7,1899-12-31 00:16:21
"A0 01 03 C0 00 20 1D CB","WB01_2","C",23,7,1899-12-31 00:36:55
"A0 01 03 C0 00 20 1D CB","WB01_2","C",24,7,1899-12-31 00:28:03
"A0 01 03 C0 00 20 1D CB","WB01_2","C",20,8,1899-12-31 00:23:24
"A0 01 03 C0 00 20 1D CB","WB01_2","C",18,11,1899-12-31 00:30:05
"A0 01 03 C0 00 20 1D CB","WB01_2","C",25,12,1899-12-31 00:20:21
"A0 01 03 C0 00 20 1D CB","WB01_2","C",27,12,1899-12-31 00:15:37
"A0 01 03 C0 00 20 1D CB","WB01_2","C",17,13,1899-12-31 00:13:51
"A0 01 03 C0 00 20 1D DB","WB01_2","C",19,1,1899-12-31 00:21:58
"A0 01 03 C0 00 20 1D DB","WB01_2","C",20,1,1899-12-31 00:08:44
"A0 01 03 C0 00 20 1D DB","WB01_2","C",23,2,1899-12-31 00:19:12
"A0 01 03 C0 00 20 1D DB","WB01_2","C",27,2,1899-12-31 00:21:17
"A0 01 03 C0 00 20 3D E5","WB01_2","C",2,1,1899-12-31 00:10:06
"A0 01 03 C0 00 20 3D E5","WB01_2","C",4,1,1899-12-31 00:06:32
"A0 01 03 C0 00 20 3D E5","WB01_2","C",5,1,1899-12-31 00:10:25
"A0 01 03 C0 00 20 3D E5","WB01_2","C",11,1,1899-12-31 00:33:47
"A0 01 03 C0 00 20 3D E5","WB01_2","C",1,3,1899-12-31 00:13:47
"A0 01 03 C0 00 20 3D E5","WB01_2","C",9,3,1899-12-31 00:22:35
"A0 01 03 C0 00 20 8D 5A","WB01_2","C",24,1,1899-12-31 00:34:04
"A0 01 03 C0 00 20 8D 5A","WB01_2","C",15,3,1899-12-31 00:14:32
"A0 01 03 C0 00 20 8D 5A","WB01_2","C",17,3,1899-12-31 00:09:57
"A0 01 03 C0 00 20 8D 5A","WB01_2","C",27,3,1899-12-31 00:39:00
"A0 01 03 C0 00 20 8D 5A","WB01_2","C",10,4,1899-12-31 00:14:16
"A0 01 03 C0 00 20 8D 5A","WB01_2","C",19,4,1899-12-31 00:20:07
"A0 01 03 C0 00 20 8D 5A","WB01_2","C",23,4,1899-12-31 00:38:30
"A0 01 03 C0 00 20 8D 5A","WB01_2","C",25,4,1899-12-31 00:34:45
"A0 01 03 C0 00 20 8D 5A","WB01_2","C",9,5,1899-12-31 00:30:20
"A0 01 03 C0 00 20 8D 5A","WB01_2","C",18,6,1899-12-31 00:21:16
"A0 01 03 C0 00 20 8D 5A","WB01_2","C",11,8,1899-12-31 00:24:49
"A0 01 03 C0 00 20 8D 5A","WB01_2","C",20,8,1899-12-31 00:22:14
"A0 01 03 C0 00 20 8D 5A","WB01_2","C",16,9,1899-12-31 00:22:56
"A0 01 03 C0 00 20 8D 5A","WB01_2","C",12,10,1899-12-31 00:10:22
"A0 01 03 C0 00 20 8D 5A","WB01_2","C",13,13,1899-12-31 00:21:00
"A0 01 03 C0 00 20 CD 0C","WB01_2","C",17,1,1899-12-31 00:12:00
"A0 01 03 C0 00 20 CD 0C","WB01_2","C",18,3,1899-12-31 00:21:01
"A0 01 03 C0 00 20 CD 0C","WB01_2","C",20,3,1899-12-31 00:22:33
"A0 01 03 C0 00 20 CD 0C","WB01_2","C",26,5,1899-12-31 00:32:24
"A0 01 03 C0 00 20 CD 0C","WB01_2","C",25,7,1899-12-31 00:21:28
"A0 01 03 C0 00 20 CD 0C","WB01_2","C",27,7,1899-12-31 00:20:34
"A0 01 03 C0 00 20 CD 0C","WB01_2","C",23,9,1899-12-31 00:25:44
"A0 01 03 C0 00 20 CD 0C","WB01_2","C",16,10,1899-12-31 00:28:50
"A0 01 03 C0 00 20 CD 0C","WB01_2","C",24,11,1899-12-31 00:18:18
"A0 01 03 C0 00 A0 C8 89","WB01_2","C",1,1,1899-12-31 00:12:26
"A0 01 03 C0 00 A0 C8 89","WB01_2","C",4,1,1899-12-31 00:06:16
"A0 01 03 C0 00 A0 C8 89","WB01_2","C",6,4,1899-12-31 00:20:34
"A0 01 03 C0 00 40 41 68","WB05","C",15,1,1899-12-31 01:00:41
"A0 01 03 C0 00 40 41 68","WB05","C",7,2,1899-12-31 00:22:01
"A0 01 03 C0 00 40 41 68","WB05","C",11,2,1899-12-31 00:16:13
"A0 01 03 C0 00 40 41 68","WB05","C",8,4,1899-12-31 00:16:46
"A0 01 03 C0 00 40 41 68","WB05","C",10,6,1899-12-31 00:25:05
"A0 01 03 C0 00 40 41 68","WB05","C",9,8,1899-12-31 00:37:28
"A0 01 03 C0 00 A0 A8 37","WB05","C",12,1,1899-12-31 00:06:35
"A0 01 03 C0 00 A0 A8 37","WB05","C",19,1,1899-12-31 02:51:57
"A0 01 03 C0 00 A0 A8 37","WB05","C",20,2,1899-12-31 06:37:43
"A0 01 03 C0 00 A0 A8 37","WB05","C",16,3,1899-12-31 00:31:42
"A0 01 03 C0 00 A0 A8 37","WB05","C",17,4,1899-12-31 00:30:33
"A0 01 03 C0 00 A0 A8 37","WB05","C",21,5,1899-12-31 00:30:19
"A0 01 03 C0 00 A0 A8 37","WB05","C",22,5,1899-12-31 00:50:26
"A0 01 03 C0 00 A0 A8 37","WB05","C",24,5,1899-12-31 00:32:55
"A0 01 03 C0 00 A0 A8 37","WB05","C",18,7,1899-12-31 00:29:55
"A0 01 03 C0 00 A0 A8 37","WB05","C",23,7,1899-12-31 00:39:26
"A0 01 03 C0 00 A0 A8 53","WB05","C",27,2,1899-12-31 05:21:41
"A0 01 03 C0 00 A0 A8 53","WB05","C",26,3,1899-12-31 02:41:05
"A0 01 03 C0 00 A0 A8 53","WB05","C",25,6,1899-12-31 00:38:29
"A0 01 03 C0 00 A0 E8 3D","WB05","C",11,1,1899-12-31 02:01:26
"A0 01 03 C0 00 A0 E8 3D","WB05","C",12,2,1899-12-31 02:03:27
"A0 01 03 C0 00 A0 E8 73","WB05","C",13,1,1899-12-31 04:20:18
"A0 01 03 C0 00 A0 E8 73","WB05","C",18,1,1899-12-31 00:50:25
"A0 01 03 C0 00 A0 E8 73","WB05","C",22,1,1899-12-31 02:23:10
"A0 01 03 C0 00 A0 E8 73","WB05","C",24,1,1899-12-31 02:34:00
"A0 01 03 C0 00 A0 E8 73","WB05","C",11,2,1899-12-31 00:17:28
"A0 01 03 C0 00 A0 E8 73","WB05","C",12,2,1899-12-31 00:57:15
"A0 01 03 C0 00 A0 E8 73","WB05","C",16,2,1899-12-31 02:01:28
"A0 01 03 C0 00 A0 E8 73","WB05","C",14,3,1899-12-31 00:40:38
"A0 01 03 C0 00 A0 E8 73","WB05","C",15,3,1899-12-31 01:02:03
"A0 01 03 C0 00 A0 E8 73","WB05","C",17,3,1899-12-31 00:44:11
"A0 01 03 C0 00 A0 E8 73","WB05","C",21,3,1899-12-31 01:05:53
"A0 01 03 C0 00 A0 E8 73","WB05","C",19,4,1899-12-31 01:24:50
"A0 01 03 C0 00 A0 E8 73","WB05","C",20,4,1899-12-31 01:36:11
"A0 01 03 C0 00 A0 E8 73","WB05","C",23,4,1899-12-31 01:11:15
"A0 01 03 C0 00 A0 E8 7D","WB05","C",10,4,1899-12-31 00:44:03
"A0 01 03 C0 00 A0 E8 7D","WB05","C",11,4,1899-12-31 00:31:41
"A0 01 03 C0 00 A0 E8 7D","WB05","C",9,7,1899-12-31 00:34:40
"A0 01 03 C0 00 20 0D B2","WB05_2","C",25,1,1899-12-31 00:33:44
"A0 01 03 C0 00 20 0D B2","WB05_2","C",15,2,1899-12-31 00:27:29
"A0 01 03 C0 00 20 0D B2","WB05_2","C",23,2,1899-12-31 00:44:05
"A0 01 03 C0 00 20 0D B2","WB05_2","C",24,2,1899-12-31 00:26:35
"A0 01 03 C0 00 20 0D B2","WB05_2","C",17,3,1899-12-31 00:37:34
"A0 01 03 C0 00 20 0D B2","WB05_2","C",19,3,1899-12-31 01:09:56
"A0 01 03 C0 00 20 0D B2","WB05_2","C",26,3,1899-12-31 00:20:54
"A0 01 03 C0 00 20 0D B2","WB05_2","C",18,5,1899-12-31 01:22:26
"A0 01 03 C0 00 20 0D B2","WB05_2","C",16,6,1899-12-31 00:23:24
"A0 01 03 C0 00 20 0D B2","WB05_2","C",20,6,1899-12-31 00:29:32
"A0 01 03 C0 00 20 0D B2","WB05_2","C",27,6,1899-12-31 00:33:00
"A0 01 03 C0 00 20 CD 52","WB05_2","C",15,5,1899-12-31 00:19:42
"A0 01 03 C0 00 20 CD 52","WB05_2","C",26,5,1899-12-31 00:26:10
"A0 01 03 C0 00 20 CD 52","WB05_2","C",28,5,1899-12-31 00:47:14
"A0 01 03 C0 00 20 CD 52","WB05_2","C",23,7,1899-12-31 00:23:52
"A0 01 03 C0 00 20 CD 52","WB05_2","C",24,7,1899-12-31 00:23:15
"A0 01 03 C0 00 20 CD 52","WB05_2","C",19,10,1899-12-31 00:10:33
"A0 01 03 C0 00 20 CD 52","WB05_2","C",25,10,1899-12-31 00:18:06
"A0 01 03 C0 00 20 CD 52","WB05_2","C",27,12,1899-12-31 00:33:49
"A0 01 03 C0 00 20 CD 52","WB05_2","C",16,13,1899-12-31 00:25:10
"A0 01 03 C0 00 20 CD 52","WB05_2","C",18,15,1899-12-31 00:20:07
"A0 01 03 C0 00 20 CD 52","WB05_2","C",17,16,1899-12-31 00:11:39
"A0 01 03 C0 00 20 CD 52","WB05_2","C",20,16,1899-12-31 00:17:01
"A0 01 03 C0 00 40 C6 97","WB13","C",22,1,1899-12-31 01:37:16
"A0 01 03 C0 00 40 C6 97","WB13","C",26,1,1899-12-31 01:36:18
"A0 01 03 C0 00 40 C6 97","WB13","C",24,2,1899-12-31 03:30:44
"A0 01 03 C0 00 40 C6 97","WB13","C",27,2,1899-12-31 02:45:24
"A0 01 03 C0 00 20 1D 62","WB13_2","C",25,1,1899-12-31 00:32:18
"A0 01 03 C0 00 20 1D 62","WB13_2","C",28,1,1899-12-31 00:50:34
"A0 01 03 C0 00 20 1D 62","WB13_2","C",18,2,1899-12-31 00:10:17
"A0 01 03 C0 00 20 1D 62","WB13_2","C",26,2,1899-12-31 01:30:51
"A0 01 03 C0 00 20 1D 62","WB13_2","C",20,3,1899-12-31 01:41:12
"A0 01 03 C0 00 20 1D 62","WB13_2","C",24,3,1899-12-31 00:36:08
"A0 01 03 C0 00 20 1D 62","WB13_2","C",19,8,1899-12-31 00:47:52
"A0 01 03 C0 00 20 6D 3C","WB13_2","C",27,1,1899-12-31 00:08:22
"A0 01 03 C0 00 20 6D 3C","WB13_2","C",23,3,1899-12-31 00:28:45
"A0 01 03 C0 00 20 6D 3C","WB13_2","C",24,7,1899-12-31 00:41:44
"A0 01 03 C0 00 20 6D 3C","WB13_2","C",25,7,1899-12-31 00:32:50
"A0 01 03 C0 00 20 6D 3C","WB13_2","C",26,14,1899-12-31 00:20:28
"A0 01 03 C0 00 20 1F FD","WB17","C",28,1,1899-12-31 00:31:59
"A0 01 03 C0 00 20 1F FD","WB17","C",20,2,1899-12-31 04:15:09
"A0 01 03 C0 00 20 1F FD","WB17","C",25,2,1899-12-31 00:35:34
"A0 01 03 C0 00 20 1F FD","WB17","C",27,2,1899-12-31 05:12:13
"A0 01 03 C0 00 20 1F FD","WB17","C",26,4,1899-12-31 00:45:37
"A0 01 03 C0 00 20 1F FD","WB17","C",19,6,1899-12-31 00:49:19
"A0 01 03 C0 00 A0 08 FA","WB17","C",28,1,1899-12-31 00:30:55
"A0 01 03 C0 00 A0 08 FA","WB17","C",26,5,1899-12-31 00:53:04
"A0 01 03 C0 00 A0 08 FA","WB17","C",27,5,1899-12-31 02:08:21
"A0 01 03 C0 00 A0 28 83","WB17","C",14,1,1899-12-31 00:49:26
"A0 01 03 C0 00 A0 28 83","WB17","C",21,1,1899-12-31 03:05:45
"A0 01 03 C0 00 A0 28 83","WB17","C",20,2,1899-12-31 00:22:22
"A0 01 03 C0 00 A0 28 83","WB17","C",15,3,1899-12-31 00:27:32
"A0 01 03 C0 00 A0 28 83","WB17","C",19,4,1899-12-31 00:43:10
"A0 01 03 C0 00 A0 28 83","WB17","C",13,5,1899-12-31 00:40:32
"A0 01 03 C0 00 A0 28 83","WB17","C",17,5,1899-12-31 01:32:05
"A0 01 03 C0 00 A0 28 83","WB17","C",16,7,1899-12-31 00:48:40
"A0 01 03 C0 00 A0 28 83","WB17","C",18,7,1899-12-31 01:15:01
"A0 01 03 C0 00 A0 28 E2","WB17","C",18,1,1899-12-31 03:17:27
"A0 01 03 C0 00 A0 28 E2","WB17","C",13,3,1899-12-31 02:18:32
"A0 01 03 C0 00 A0 28 E2","WB17","C",14,3,1899-12-31 01:07:58
"A0 01 03 C0 00 A0 28 E2","WB17","C",15,3,1899-12-31 01:20:55
"A0 01 03 C0 00 A0 28 E2","WB17","C",19,3,1899-12-31 00:30:46
"A0 01 03 C0 00 A0 28 E2","WB17","C",21,3,1899-12-31 00:35:10
"A0 01 03 C0 00 A0 28 E2","WB17","C",22,3,1899-12-31 01:25:47
"A0 01 03 C0 00 A0 28 E2","WB17","C",16,4,1899-12-31 00:38:43
"A0 01 03 C0 00 A0 28 E2","WB17","C",20,5,1899-12-31 01:13:38
"A0 01 03 C0 00 A0 28 FC","WB17","C",16,1,1899-12-31 00:25:47
"A0 01 03 C0 00 A0 28 FC","WB17","C",18,1,1899-12-31 00:12:39
"A0 01 03 C0 00 A0 28 FC","WB17","C",19,1,1899-12-31 00:24:24
"A0 01 03 C0 00 A0 28 FC","WB17","C",15,2,1899-12-31 00:07:59
"A0 01 03 C0 00 A0 28 FC","WB17","C",21,5,1899-12-31 01:21:38
"A0 01 03 C0 00 A0 28 FC","WB17","C",20,11,1899-12-31 00:59:12
"A0 01 03 C0 00 A0 A8 EC","WB17","C",13,1,1899-12-31 00:10:20
"A0 01 03 C0 00 A0 A8 EC","WB17","C",15,1,1899-12-31 00:07:08
"A0 01 03 C0 00 A0 A8 EC","WB17","C",16,1,1899-12-31 00:37:13
"A0 01 03 C0 00 A0 A8 EC","WB17","C",19,2,1899-12-31 02:07:48
"A0 01 03 C0 00 A0 A8 EC","WB17","C",20,2,1899-12-31 00:50:41
"A0 01 03 C0 00 A0 A8 EC","WB17","C",18,4,1899-12-31 01:10:39
"A0 01 03 C0 00 A0 A8 EC","WB17","C",17,7,1899-12-31 00:48:29
"A0 01 03 C0 00 A0 C8 93","WB17","C",12,2,1899-12-31 00:08:04
"A0 01 03 C0 00 A0 C8 93","WB17","C",13,2,1899-12-31 01:02:57
"A0 01 03 C0 00 A0 C8 93","WB17","C",14,2,1899-12-31 04:32:10
"A0 01 03 C0 00 A0 C8 93","WB17","C",15,4,1899-12-31 01:07:09
"A0 01 03 C0 00 A0 C8 93","WB17","C",17,4,1899-12-31 00:29:27
"A0 01 03 C0 00 A0 C8 93","WB17","C",16,6,1899-12-31 00:44:21
"A0 01 03 C0 00 A0 C8 93","WB17","C",18,7,1899-12-31 00:35:13
"A0 01 03 C0 00 A0 C8 EB","WB17","C",16,1,1899-12-31 00:14:13
"A0 01 03 C0 00 A0 C8 EB","WB17","C",18,1,1899-12-31 00:51:08
"A0 01 03 C0 00 A0 C8 EB","WB17","C",19,2,1899-12-31 02:12:01
"A0 01 03 C0 00 A0 E8 43","WB17","C",14,1,1899-12-31 00:23:04
"A0 01 03 C0 00 A0 E8 43","WB17","C",16,2,1899-12-31 00:59:15
"A0 01 03 C0 00 A0 E8 43","WB17","C",17,2,1899-12-31 00:38:14
"A0 01 03 C0 00 A0 E8 43","WB17","C",10,4,1899-12-31 00:19:52
"A0 01 03 C0 00 A0 E8 43","WB17","C",15,5,1899-12-31 01:15:53
"A0 01 03 C0 00 A0 E8 43","WB17","C",11,8,1899-12-31 00:23:05
"A0 01 03 C0 00 A0 E8 43","WB17","C",19,8,1899-12-31 00:32:51
"A0 01 03 C0 00 A0 E8 43","WB17","C",12,17,1899-12-31 00:22:00
"A0 01 03 C0 00 A0 E8 43","WB17","C",13,23,1899-12-31 00:25:28
"A0 01 03 C0 00 20 3F 67","WB02","D",22,2,1899-12-31 01:32:04
"A0 01 03 C0 00 20 3F 67","WB02","D",24,2,1899-12-31 01:47:56
"A0 01 03 C0 00 20 3F 67","WB02","D",25,3,1899-12-31 00:50:42
"A0 01 03 C0 00 20 3F 67","WB02","D",26,3,1899-12-31 01:23:30
"A0 01 03 C0 00 20 3F 67","WB02","D",21,4,1899-12-31 01:08:02
"A0 01 03 C0 00 20 3F 67","WB02","D",23,6,1899-12-31 01:06:37
"A0 01 03 C0 00 20 46 23","WB02","D",15,1,1899-12-31 00:15:17
"A0 01 03 C0 00 20 46 23","WB02","D",18,1,1899-12-31 02:04:56
"A0 01 03 C0 00 20 46 23","WB02","D",23,1,1899-12-31 04:00:26
"A0 01 03 C0 00 20 46 23","WB02","D",13,2,1899-12-31 00:28:19
"A0 01 03 C0 00 20 46 23","WB02","D",26,2,1899-12-31 03:40:25
"A0 01 03 C0 00 20 46 23","WB02","D",7,3,1899-12-31 00:48:33
"A0 01 03 C0 00 20 46 23","WB02","D",11,3,1899-12-31 00:23:57
"A0 01 03 C0 00 20 46 23","WB02","D",14,3,1899-12-31 00:20:42
"A0 01 03 C0 00 20 46 23","WB02","D",16,3,1899-12-31 00:42:14
"A0 01 03 C0 00 20 46 23","WB02","D",19,3,1899-12-31 03:11:16
"A0 01 03 C0 00 20 46 23","WB02","D",20,3,1899-12-31 00:41:31
"A0 01 03 C0 00 20 46 23","WB02","D",25,3,1899-12-31 00:08:46
"A0 01 03 C0 00 20 46 23","WB02","D",5,4,1899-12-31 00:28:27
"A0 01 03 C0 00 20 46 23","WB02","D",17,5,1899-12-31 01:16:00
"A0 01 03 C0 00 20 46 23","WB02","D",9,6,1899-12-31 00:31:53
"A0 01 03 C0 00 20 46 23","WB02","D",8,7,1899-12-31 00:35:42
"A0 01 03 C0 00 20 46 23","WB02","D",10,7,1899-12-31 00:39:38
"A0 01 03 C0 00 20 46 2B","WB02","D",11,1,1899-12-31 00:28:25
"A0 01 03 C0 00 20 46 2B","WB02","D",2,2,1899-12-31 00:45:00
"A0 01 03 C0 00 20 46 2B","WB02","D",3,5,1899-12-31 00:18:34
"A0 01 03 C0 00 20 46 2B","WB02","D",4,5,1899-12-31 01:36:15
"A0 01 03 C0 00 20 46 2B","WB02","D",5,5,1899-12-31 00:31:43
"A0 01 03 C0 00 20 46 2B","WB02","D",8,6,1899-12-31 00:57:25
"A0 01 03 C0 00 20 46 DE","WB02","D",7,1,1899-12-31 00:07:01
"A0 01 03 C0 00 20 46 DE","WB02","D",9,1,1899-12-31 00:15:26
