"generations","abundance"
1,1000
2,1805.85416666667
3,3236.15770978639
4,5719.95204946751
5,9866.49775822355
6,16317.5166360598
7,25181.5601115925
8,35033.6230829116
9,42822.2749589464
10,46623.8828235164
11,47723.9582211822
12,47949.8341087037
13,47991.0774877509
14,47998.4193503311
15,47999.7201821705
16,47999.9504709017
17,47999.9912333075
18,47999.9984482941
19,47999.999725348
20,47999.9999513866
